ID,split,imagery_id,date,coordinates,if_fire,data_path,mask_path
20210515_12,train,S2A_10UCV_20210515_0_L2A,2021-05-15,"POLYGON ((-131.44694175488345 49.557769216279155, -131.3408408565637 49.559965215411495, -131.33754600309172 49.49094282859376, -131.4434979136637 49.488752145273395, -131.44694175488345 49.557769216279155))",False,image_directory_20210515_12,mask_directory_20210515_12
20210515_18,train,S2A_10UDU_20210515_0_L2A,2021-05-15,"POLYGON ((-130.35710701535717 48.60683612543683, -130.25294992462867 48.608016601416786, -130.25124407808562 48.538941645820074, -130.35525946446558 48.53776401597783, -130.35710701535717 48.60683612543683))",False,image_directory_20210515_18,mask_directory_20210515_18
20210515_45,val,S2A_10UDV_20210515_0_L2A,2021-05-15,"POLYGON ((-130.0475114278465 48.7498713334538, -129.94304796425834 48.75077360944212, -129.9417575427146 48.68169321393943, -130.0460781239238 48.68079311493283, -130.0475114278465 48.7498713334538))",False,image_directory_20210515_45,mask_directory_20210515_45
20210521_21,train,S2A_10UCA_20210521_1_L2A,2021-05-21,"POLYGON ((-130.51753124677427 50.40425710696954, -130.40949390642274 50.40561643482138, -130.40744940564247 50.33656743132353, -130.51533017661433 50.335211412488775, -130.51753124677427 50.40425710696954))",False,image_directory_20210521_21,mask_directory_20210521_21
20210625_43,val,S2B_9UXR_20210625_0_L2A,2021-06-25,"POLYGON ((-126.73530370385289 50.25394627193798, -126.62766370317739 50.251797836455616, -126.63108549894987 50.182785284518225, -126.73857057305507 50.18492849773559, -126.73530370385289 50.25394627193798))",False,image_directory_20210625_43,mask_directory_20210625_43
20210627_0,train,S2A_9UYR_20210627_0_L2A,2021-06-27,"POLYGON ((-125.16477804389937 49.659872620236534, -125.05861383466667 49.656302243545156, -125.06417760666498 49.58738672272787, -125.1701928584716 49.59094846429792, -125.16477804389937 49.659872620236534))",True,image_directory_20210627_0,mask_directory_20210627_0
20210627_19,train,S2A_10UDU_20210627_0_L2A,2021-06-27,"POLYGON ((-130.35896158173583 48.675907349440955, -130.25466224896843 48.677090679284284, -130.25294992462867 48.608016601416786, -130.35710701535717 48.60683612543683, -130.35896158173583 48.675907349440955))",False,image_directory_20210627_19,mask_directory_20210627_19
20210627_23,train,S2A_10UCA_20210627_0_L2A,2021-06-27,"POLYGON ((-131.80905782415692 50.31114225711468, -131.70131986966277 50.313697224311866, -131.69741533313228 50.24470295921284, -131.80499804996853 50.24215420271168, -131.80905782415692 50.31114225711468))",False,image_directory_20210627_23,mask_directory_20210627_23
20210627_32,test,S2A_10UDA_20210627_0_L2A,2021-06-27,"POLYGON ((-129.86751086896356 50.41092075086864, -129.7594346703059 50.41167643918383, -129.7583327794219 50.342612681500135, -129.86625221131288 50.3418588332505, -129.86751086896356 50.41092075086864))",False,image_directory_20210627_32,mask_directory_20210627_32
20210627_38,test,S2A_10UCA_20210627_0_L2A,2021-06-27,"POLYGON ((-131.66294740977278 49.623707667857836, -131.55672068488488 49.62610395048589, -131.5531137566122 49.55709347441001, -131.65919104304243 49.554702993566934, -131.66294740977278 49.623707667857836))",False,image_directory_20210627_38,mask_directory_20210627_38
20210627_41,val,S2A_9UYR_20210627_0_L2A,2021-06-27,"POLYGON ((-125.9804444984755 50.236772855913266, -125.8729107570619 50.233926287225614, -125.87741739424553 50.164957158072596, -125.98479674563274 50.16779681257179, -125.9804444984755 50.236772855913266))",False,image_directory_20210627_41,mask_directory_20210627_41
20210627_42,val,S2A_9UYR_20210627_0_L2A,2021-06-27,"POLYGON ((-125.25504366857342 49.87013606141308, -125.1484079720491 49.8666375096811, -125.15388570526942 49.79771714488544, -125.2603706199349 49.801207224147745, -125.25504366857342 49.87013606141308))",False,image_directory_20210627_42,mask_directory_20210627_42
20210628_1,train,S2B_9UWR_20210628_1_L2A,2021-06-28,"POLYGON ((-127.59119010461468 50.543769930790944, -127.48283741678374 50.542408418110206, -127.485048759511 50.473364359636264, -127.59324364965362 50.474722554950475, -127.59119010461468 50.543769930790944))",True,image_directory_20210628_1,mask_directory_20210628_1
20210628_2,train,S2B_9UXS_20210628_1_L2A,2021-06-28,"POLYGON ((-127.3671432187832 50.68006747113423, -127.2584889553842 50.678494336979206, -127.26103949458563 50.609459586768466, -127.36953480552138 50.61102888480064, -127.3671432187832 50.68006747113423))",True,image_directory_20210628_2,mask_directory_20210628_2
20210628_6,test,S2B_9UXS_20210628_1_L2A,2021-06-28,"POLYGON ((-127.26103949458563 50.609459586768466, -127.15255415233162 50.60778930097089, -127.15525300386612 50.538757705995245, -127.26358006504528 50.54042392095767, -127.26103949458563 50.609459586768466))",True,image_directory_20210628_6,mask_directory_20210628_6
20210628_7,val,S2B_9UWS_20210628_1_L2A,2021-06-28,"POLYGON ((-127.59115795420932 50.54484878902297, -127.48280279589473 50.543487224431914, -127.48501427371394 50.47444317992372, -127.59321162470931 50.47580142699781, -127.59115795420932 50.54484878902297))",True,image_directory_20210628_7,mask_directory_20210628_7
20210628_8,val,S2B_9UXS_20210628_1_L2A,2021-06-28,"POLYGON ((-127.5886182856442 50.54481803086994, -127.48026332342242 50.543454103949834, -127.482478499333 50.4744101401389, -127.5906756552352 50.47577074379059, -127.5886182856442 50.54481803086994))",True,image_directory_20210628_8,mask_directory_20210628_8
20210712_14,train,S2B_10UCB_20210712_0_L2A,2021-07-12,"POLYGON ((-130.8606210073601 50.88387018104632, -130.75149652634843 50.88555899383295, -130.74891242174587 50.816527074231416, -130.85787612312498 50.814842385326365, -130.8606210073601 50.88387018104632))",False,image_directory_20210712_14,mask_directory_20210712_14
20210712_27,train,S2B_10UDV_20210712_1_L2A,2021-07-12,"POLYGON ((-130.36461176654467 48.88473449265834, -130.25987907675338 48.88592649837927, -130.25814697454902 48.816855074022946, -130.36273578065757 48.81566594576871, -130.36461176654467 48.88473449265834))",False,image_directory_20210712_27,mask_directory_20210712_27
20210712_46,val,S2B_9UYR_20210712_0_L2A,2021-07-12,"POLYGON ((-125.47340137505778 49.80789427818403, -125.3668760355906 49.8045996168394, -125.37203217836218 49.73566132443381, -125.47840711109475 49.73894800799162, -125.47340137505778 49.80789427818403))",False,image_directory_20210712_46,mask_directory_20210712_46
20210712_5,test,S2B_9UYR_20210712_0_L2A,2021-07-12,"POLYGON ((-125.35650387832956 49.94247254399866, -125.24969611329794 49.93906365500094, -125.25504366857342 49.87013606141308, -125.36169996889305 49.87353669060245, -125.35650387832956 49.94247254399866))",True,image_directory_20210712_5,mask_directory_20210712_5
20210714_16,train,S2A_10UCA_20210714_0_L2A,2021-07-14,"POLYGON ((-131.36095799792983 49.975696289974536, -131.25393438529517 49.977825981155426, -131.25071464079227 49.90880439716843, -131.35758570791415 49.90667987393794, -131.36095799792983 49.975696289974536))",False,image_directory_20210714_16,mask_directory_20210714_16
20210714_17,train,S2A_10UDB_20210714_0_L2A,2021-07-14,"POLYGON ((-130.41401234425803 50.6138575742024, -130.30549089211266 50.615124312730494, -130.3035830978925 50.546074838662335, -130.41194608454668 50.54481118820517, -130.41401234425803 50.6138575742024))",False,image_directory_20210714_17,mask_directory_20210714_17
20210719_13,train,S2B_10UCV_20210719_0_L2A,2021-07-19,"POLYGON ((-131.65910317633998 49.553085684076976, -131.55302938550602 49.555476029135626, -131.549436622299 49.4864645086965, -131.65536155972876 49.48407994882067, -131.65910317633998 49.553085684076976))",False,image_directory_20210719_13,mask_directory_20210719_13
20210730_34,test,S2A_10UCA_20210730_1_L2A,2021-07-30,"POLYGON ((-130.95527539581263 50.53587433251706, -130.84696156278733 50.537643297420075, -130.84427012633031 50.46861084780821, -130.95242635969086 50.46684619189256, -130.95527539581263 50.53587433251706))",False,image_directory_20210730_34,mask_directory_20210730_34
20210811_10,train,S2B_10UCV_20210811_0_L2A,2021-08-11,"POLYGON ((-131.23472726309154 49.562063997705465, -131.12860154744556 49.564065535604165, -131.1256048554415 49.49503322195153, -131.23158146030147 49.493036529963156, -131.23472726309154 49.562063997705465))",False,image_directory_20210811_10,mask_directory_20210811_10
20210811_25,train,S2B_10UCV_20210811_0_L2A,2021-08-11,"POLYGON ((-131.3441484052604 49.62898661226988, -131.23788518812447 49.631090489745, -131.23472726309154 49.562063997705465, -131.3408408565637 49.559965215411495, -131.3441484052604 49.62898661226988))",False,image_directory_20210811_25,mask_directory_20210811_25
20210818_37,test,S2B_10UDU_20210818_1_L2A,2021-08-18,"POLYGON ((-129.93661476637655 48.40374388699589, -129.83285882993277 48.40454174190737, -129.83173293832067 48.335455112118055, -129.9353486604861 48.33465917949764, -129.93661476637655 48.40374388699589))",False,image_directory_20210818_37,mask_directory_20210818_37
20210818_9,train,S2B_10UDU_20210818_1_L2A,2021-08-18,"POLYGON ((-130.25294992462867 48.608016601416786, -130.14878635613871 48.609102891238116, -130.14722224526233 48.54002531647069, -130.25124407808562 48.538941645820074, -130.25294992462867 48.608016601416786))",False,image_directory_20210818_9,mask_directory_20210818_9
20210819_35,test,S2A_9UYR_20210819_0_L2A,2021-08-19,"POLYGON ((-125.38228508846116 49.59778109054588, -125.27622887507313 49.594413268709154, -125.28147443181047 49.52547947510624, -125.38738205225935 49.5288391524663, -125.38228508846116 49.59778109054588))",False,image_directory_20210819_35,mask_directory_20210819_35
20210819_39,test,S2A_10UCA_20210819_0_L2A,2021-08-19,"POLYGON ((-131.80905782415692 50.31114225711468, -131.70131986966277 50.313697224311866, -131.69741533313228 50.24470295921284, -131.80499804996853 50.24215420271168, -131.80905782415692 50.31114225711468))",False,image_directory_20210819_39,mask_directory_20210819_39
20210902_31,train,S2A_10UCU_20210902_0_L2A,2021-09-02,"POLYGON ((-130.3587344156348 48.60681693325166, -130.25457743038822 48.60799888077396, -130.25286936946713 48.53892396790285, -130.35688465087512 48.537744870064095, -130.3587344156348 48.60681693325166))",False,image_directory_20210902_31,mask_directory_20210902_31
20210902_47,val,S2A_10UDV_20210902_0_L2A,2021-09-02,"POLYGON ((-130.15833435571176 49.02516893243605, -130.05329946296735 49.02617556973663, -130.0518441775927 48.95710080609475, -130.15673402480672 48.956096600571826, -130.15833435571176 49.02516893243605))",False,image_directory_20210902_47,mask_directory_20210902_47
